addr,name,symbol
0xe41d2489571d322189246dafa5ebde1f4699f498,0x Protocol Token,ZRX
0xbf2179859fc6d5bee9bf9158632dc51678a4100e,Aelf,ELF
0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,Aeternity,AE
0x960b236a07cf122663c4303350609a66a7b288c0,Aragon,ANT
0x1985365e9f78359a9b6ad760e32412f4a445e862,Augur,REP
0x9ab165d795019b6d8b3e971dda91071421305e5a,Aurora,AOA
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,Bancor Network Token,BNT
0x0d8775f648430679a709e98d2b0cb6250d2887ef,Basic Attention Token,BAT
0xe1aee98495365fc179699c1bb3e761fa716bee62,Bezant,BZNT
0xb8c77482e45f1f44de1745f52c74426c631bdd52,Binance Coin,BNB
0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,Bread,BRD
0xd45247c07379d94904e0a87b4481f0a1ddfa0c64,Buggyra Coin Zero,BCZERO
0x1122b6a0e00dce0563082b6e2953f3a943855c1f,Centrality,CENNZ
0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink,LINK
0xd4c435f5b09f855c3317c8524cb1f586e42795fa,Cindicator,CND
0x41e5560054824ea6b0732e656e3ad64e20e94e45,Civic,CVC
0xea11755ae41d889ceec39a63e6ff75a02bc1c00d,Cortex,CTXC
0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,Credo,CREDO
0x80a7e048f37a50500351c204cb407766fa3bae7f,Crypterium,CRPT
0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,Crypto.com,MCO
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Crypto.com Chain,CRO
0x26e75307fc0c021472feb8f727839531f112f317,CRYPTO20,C20
0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,Dai Stablecoin,DAI
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Decentraland,MANA
0x3597bfd533a99c9aa083587b074434e61eb0a258,Dent,DENT
0x08d32b0da63e2c3bcf8019c9c5d849d7a9d791e6,Dentacoin,DCN
0x1c83501478f1320977047008496dacbd60bb15ef,Digitex Futures,DGTX
0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,DigixDaO,DGD
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,Dragonchain,DRGN
0x4672bad527107471cb5067a887f4656d585a8a31,Dropil,DROP
0xb052f8a33d8bb068414eade06af6955199f9f010,Ecoreal Estate,ECOR
0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,Edgeless,EDG
0xced4e93198734ddaff8492d525bd258d49eb388e,Eidoo,EDO
0xc528c28fec0a90c083328bc45f587ee215760a0f,Endor Protocol,EDR
0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,Enigma,ENG
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,Enjin Coin,ENJ
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,FunFair,FUN
0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,Gemini Dollar,GUSD
0x103c3a209da59d3e7c4a89307e66521e081cfdf0,Genesis Vision,GVT
0xc5bbae50781be1669306b9e001eff57a2957b09d,Gifto,GTO
0xc8058d59e208399b76e66da1ec669dd6b1bee2ea,Gold Bits Coin,GBC
0xa74476443119a942de498590fe1f2454d7d4ac0d,Golem,GNT
0x07a58629aaf3e1a0d07d8f43114b76bd5eee3b91,Guaranteed Ethurance,GETX
0x6c6ee5e31d828de241282b9606c8e98ea48526e2,Holo Token,HOT
0x6f259637dcd74c767781e37bc6133cd6a68aa161,Huobi Token,HT
0x607f4c5bb672230e8672085532f7e901544a7375,iExec RLC,RLC
0xc9859fccc876e6b4b3c749c5d29ea04f48acb74f,INO COIN,INO
0x17aa18a4b64a55abed7fa543f2ba4e91f2dce482,Insight Chain,INB
0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab,IOS Token,IOST
0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,IoTeX,IOTX
0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,Kin,KIN
0x039b5649a59967e3e936d7471f9c3700100ee1ab,KuCoin Shares,KCS
0xdd974d5c2e2928dea5f71b9825b8b646686bd200,Kyber Network,KNC
0x49bd2da75b1f7af1e4dfd6b1125fecde59dbec58,Linkey Token,LKY
0x5e3346444010135322268a4630d2ed5f8d09446c,LockTrip,LOC
0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,Loom Network,LOOM
0xef68e7c694f40c8202821edf525de3782458639f,Loopring,LRC
0xdf2c7238198ad8b389666574f2d8bc411a4b7428,Mainframe,MFT
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,Maker,MKR
0x6a750d255416483bec1a31ca7050c6dac4263b57,Maximine Coin,MXM
0x3893b9422cd5d70a81edeffe3d5a1c6a978310bb,Mithril,MITH
0xa974c709cfb4566686553a20790685a47aceaa33,Mixin,XIN
0x40395044ac3c0c57051906da938b54bd6557f212,MobileGo Token,MGO
0xcc80c051057b774cd75067dc48f8987c4eb97a5e,Nectar,NEC
0xa823e6722006afe99e91c30ff5295052fe6b8e32,Neumark,NEU
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,Nexo,NEXO
0xbf52f2ab39e26e0951d2a02b49b7702abe30406a,ODEM Token,ODEM
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,OmiseGO,OMG
0xff603f43946a3a28df5e6a73172555d8c8b02386,OneRoot Network,RNT
0xc6abf3c09341741ac6041b0b08195701bdfd460c,Optimal Shelf,OSA
0x1460a58096d80a50a2f1f956dda497611fa4f165,Own,CHX
0x8e870d67f660d95d5be530380d0ec0bd388289e1,Paxos Standard,PAX
0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec,Polymath,POLY
0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,Populous Platform,PPT
0x595832f8fc6bf59c85c527fec3740a1b7a361269,Power Ledger,POWR
0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,Pundi X Token,NPXS
0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,QASH,QASH
0x4a220e6096b25eadb88358cb44068a3248254675,Quant,QNT
0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,QuarkChain,QKC
0x1602af2c782cc03f9241992e243290fccf73bb13,Qubitica,QBIT
0x48f775efbe4f5ece6e0df2f7b5932df56823b990,Revain,R
0x4156d3342d5c385a87d264f90653733592000581,SALT,SALT
0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,Santiment,SAN
0x8eb24319393716668d768dcec29356ae9cffe285,SingularityNET,AGI
0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf,Spectre.ai Dividend,SXDT
0xdb25f211ab05b1c97d595516f45794528a807ad8,STASIS EURS Token,EURS
0x744d70fdbe2ba4cf95131626614a1763df805b9e,Status Network Token,SNT
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,Storj,STORJ
0xb97048628db6b661d4c2aa833e95dbe1a905b280,TenX,PAY
0x3883f5e181fccaf8410fa61e12b59bad963fb645,Theta Token,THETA
0xaaaf91d9b90df800df4f55c205fd6989c977e73a,TokenCard,TKN
0x4824a7b64e3966b0133f4f4ffb1b9d6beb75fff7,TokenClub,TCT
0x0000000000085d4780b73119b644ae5ecd22b376,TrueUSD,TUSD
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC
0x8f3470a7388c05ee4e7af3d01d8c722b0ff52374,Veritaseum,VERI
0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,Waltonchain,WTC
0x39bb259f66e1c59d5abef88375979b4d20d98022,WAX Token,WAX
0x4cf488387f035ff08c371515562cba712f9015d4,WePower Token,WPR
0x55296f69f40ea6d20e478533c15a6b08b654e758,XYO,XYO
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,Zilliqa,ZIL
0xbd0793332e9fb844a52a205a233ef27a5b34b927, ZB Zoken, ZB
